Nombre;Zona;Municipio;Codigo Postal;Direccion;Latitud;Longitud;Frecuencia;Dia;Hora;Misa previa;
Parroquia de los Santos Inocentes ;Legazpi;Arganzuela;28045;C. de Embajadores, 209;40,38738611;-3,690002504;Semanal;Lunes;19:30;19:00;
Parroquia Nuestra Señora de la Moraleja;Alcobendas;Alcobendas;28109;C. del Nardo, 44;40,53128252;-3,636081646;Último lunes de cada mes;Lunes;19:30;19:00;
Parroquia Santa Teresa de Jesús;Tres Cantos;Tres Cantos;28760;Sector Pintores, 11;40,60927167;-3,70859309;Tercer lunes de cada mes;Lunes;20:45;20:00;
Capilla Universitaria UFV;Universidad Francisco de Vitoria;Pozuelo de Alarcón;28223;M-515, km 1, 800, Aparcamiento, Pl. Quince, 55;40,44092551;-3,833140188;Segundo martes de cada mes;Martes;19:00;No;
Parroquia de Santa Teresa Benedicta de la Cruz (Edith Stein);Fuencarral-El Pardo;Fuencarral-El Pardo;28035;C. de la Senda del Infante, 22;40,48978676;-3,720097519;Semanal;Martes;20:30;20:00;
Iglesia Parroquial de San Agustín;Chamartín;Chamartín;28002;C. de Joaquín Costa, 10;40,44847958;-3,687096516;Último martes de cada mes;Martes;20:30;20:00;
Iglesia de la Inmaculada Concepción;La Cabrera;La Cabrera;28751;C. de la Iglesia, 4;40,86480412;-3,614954894;Semanal;Miércoles;19:15;No;
Convento Concepcionistas Franciscanas;Chamberí;Chamberí;28015;C. de Blasco de Garay, 51, bajo;40,44129363;-3,7113934;Semanal;Miércoles;20:00;No;
Capilla de las Esclavas;Alcobendas;Alcobendas;28109;P. del Conde de los Gaitanes, 23;40,51751613;-3,639297117;Tercer miércoles de cada mes;Miércoles;20:00;No;
Parroquia de San Josemaría Escrivá de Balaguer;Aravaca;Moncloa - Aravaca;28023;C. de Ganímedes, 19;40,46612758;-3,785896151;Semanal;Miércoles;21:00;20:30;
Parroquia de Nuestra Señora del Buen Suceso;Argüelles;Moncloa - Aravaca;28008;Calle de la Princesa, 43;40,42952514;-3,715945032;Semanal;Miércoles;21:30;20:30;
Parroquia de los Santos Inocentes ;Legazpi;Arganzuela;28045;C. de Embajadores, 209;40,38738611;-3,690002504;Primer jueves de cada mes;Jueves;20:00;19:00;
Parroquia San Carlos Borromeo;Villanueva de la Cañada;Villanueva de la Cañada;28691;Avenida Universidad, 2;40,44880056;-3,995539488;Semanal;Jueves;20:15;19:30;
Parroquia de Santa María Magdalena;Húmera Pozuelo de Alarcón;Húmera;28223;Av. de la Iglesia, 16;40,42914317;-3,784569417;Semanal;Viernes;19:30;18:00;
Parroquia San Ramón Nonato (Cripta);Puente de Vallecas;Puente de Vallecas;28053;c. de Melquíades Biencinto, 10;40,39742847;-3,669384004;Semanal;Viernes;19:30;No;
Parroquia de Nuestra Señora de la Visitación;Las Rozas;Las Rozas de Madrid;28231;C. Comunidad de Murcia, 1;40,4892943;-3,887423215;Semanal;Viernes;20:00;19:30;
Iglesia Nuestra Señora de Lourdes y San Justino;Casa de campo;Latina;28011;C. de San Juan de Mata, 30;40,4042242;-3,758340419;Mensual;Viernes;20:30;No;
Parroquia Santa Maria del Monte Carmelo;Salamanca;Salamanca;28001;Cl. de Ayala, 37;40,42789934;-3,683067561;Primer viernes de cada mes;Viernes;20:45;20:00;
Parroquia de San Juan Crisóstomo;Chamberí;Chamberí;28003;C. de Domenico Scarlatti, 2;40,44184968;-3,716121317;Semanal;Sábado;17:30;No;
Parroquia de Nuestra Señora de África;Carabanchel;Carabanchel;28019;C. Algorta, 14;40,3929657;-3,730097809;Semanal;Sábado;19:00;18:00;
Parroquia de Nuestra Señora de la Visitación;Las Rozas;Las Rozas de Madrid;28231;C. Comunidad de Murcia, 1;40,4892943;-3,887423215;Tercer sábado de cada mes;Sábado;20:30;19:30;
Parroquia Santa Maria de la Merced;Las Rozas;Las Rozas de Madrid;28290;C. Cabo Mayor, 1;40,54522137;-3,901517504;Semanal;Sábado;21:00;20:00;
Oratorio UFV;Universidad Francisco de Vitoria;Pozuelo de Alarcón;28223;M-515, km 1, 800;40,44041821;-3,835082726;Mensual;Domingo;17:00;16:00;
Parroquia San Carlos Borromeo;Villanueva de la Cañada;Villanueva de la Cañada;28691;Avenida Universidad, 2;40,44880056;-3,995539488;Semanal;Domingo;20:15;19:30;
Nuestra Señora de los Apóstoles;Moratalaz;Moratalaz;28030;C. de Luis de Hoyos Sainz, 94Bis;40,40297918;-3,637418161;Segundo y cuarto domingo de cada mes;Domingo;20:15;19:30;